feature,mean_abs_shap,mean_shap,positive_impact%,rank,direction
YEARS_BEGINEXPLUATATION_MEDI,0.00485296934810327,0.0003145122232173313,73.2,120,↑ Increases Risk
CC_AMT_BALANCE_MAX,0.00481087529994836,-0.000609421190190771,12.65,121,↓ Decreases Risk
TOTALAREA_MODE,0.004732561606512579,0.00010836022503738484,63.55,122,↑ Increases Risk
POS_COMPLETED_COUNT,0.004460536167925999,-0.00028612543801116437,46.75,123,↓ Decreases Risk
REGION_RATING_CLIENT,0.004419734813850373,0.0003621149267947013,83.15,124,↑ Increases Risk
BASEMENTAREA_MODE,0.004323859154821868,-0.00015025778853363075,48.0,125,↓ Decreases Risk
YEARS_BEGINEXPLUATATION_AVG,0.004313134835462385,0.00032802827441881277,76.44999999999999,126,↑ Increases Risk
YEARS_BEGINEXPLUATATION_MODE,0.004261467035066943,0.0003170559493959044,71.45,127,↑ Increases Risk
YEARS_BUILD_MODE,0.004219935352788247,-0.00038117754297942207,76.95,128,↓ Decreases Risk
COMMONAREA_MEDI,0.00420872890819967,-7.137879302553988e-05,75.2,129,↓ Decreases Risk
NAME_HOUSING_TYPE,0.004168010249994734,-0.00019307233081506284,16.0,130,↓ Decreases Risk
APARTMENTS_AVG,0.004108538920088726,-0.00010976729063681759,54.900000000000006,131,↓ Decreases Risk
CC_MIN_PAYMENT_RATIO_MIN,0.004063290142127651,0.0003128351649459355,94.6,132,↑ Increases Risk
PREV_REFUSED_COUNT,0.004040733725082731,0.00024068390951278328,21.95,133,↑ Increases Risk
LANDAREA_MODE,0.004008208846866874,-0.00015352146510322476,63.0,134,↓ Decreases Risk
NONLIVINGAREA_AVG,0.003977173907156189,-0.0005355608118523497,60.650000000000006,135,↓ Decreases Risk
BASEMENTAREA_AVG,0.003821984972069626,-0.0001805406784116755,67.0,136,↓ Decreases Risk
